"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @MikeThePlumbe10: THE BEST IS YET TO COME! THESE #NEW DOCUMENTS WILL #BLOW THE LID OFF OF THE FBI #INVESTIGATION INTO GEN FLYNN, ROGER S¡¦",FALSE,0,NA,2020-05-06 01:01:13,FALSE,NA,"1257837790689017856",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JEM_Books",5,TRUE,FALSE,NA,NA
"RT @BetteMidler: #Trump deemed them essential in order into innoculate the owners from being sued when the workers start dying.  #WorstPres¡¦",FALSE,0,NA,2020-05-06 01:01:07,FALSE,NA,"1257837766408155138",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","nightowl648",198,TRUE,FALSE,NA,NA
"@ShannonBream @FoxNews @foxnewsnight When RBG kicks the bucket, and that time grows near, the liberal left are goin¡¦ https://t.co/eoKppU7Dpi",FALSE,0,"ShannonBream",2020-05-06 01:01:00,TRUE,"1257835115935338496","1257837735970299905","18983793","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","build_one1",0,FALSE,FALSE,NA,NA
"RT @Miss_Anthr0pe: I bet his pupils looked like this last night,  #Sudafed #trump pseudoephedrine abuse dilates the pupils, FYI https://t.c¡¦",FALSE,0,NA,2020-05-06 01:00:55,FALSE,NA,"1257837714293919744",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MOMBO91859138",12,TRUE,FALSE,NA,NA
"RT @cosmicfirepeace: #Trump figured out a way for the invisible #Covid19 virus to go away .. ITS Real simple folks ... no more testing .,.¡¦",FALSE,0,NA,2020-05-06 01:00:52,FALSE,NA,"1257837703803990016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CarolLaRue",2,TRUE,FALSE,NA,NA
"RT @MrsC_Assange: #Trump on  @Wikileaks 

(During his US Presidential Campaign) 

""I love Wikileaks!""

""This Wikileaks is like a treasure t¡¦",FALSE,0,NA,2020-05-06 01:00:51,FALSE,NA,"1257837699832188929",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PAA_Asile",5,TRUE,FALSE,NA,NA
"RT @MrsC_Assange: #Trump on @Wikileaks

""I think its disgraceful..
Should be the death penalty or something""

#SaveJulian 
#FreeAssange htt¡¦",FALSE,0,NA,2020-05-06 01:00:44,FALSE,NA,"1257837669083525120",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","marielaquin",8,TRUE,FALSE,NA,NA
"RT @howardfineman: #Trump has gone ballistic <U+2014> or ballisticer <U+2014> over this anti-Trump #GOPer ad. I can see why. It¡¯s tough, effective and tr¡¦",FALSE,0,NA,2020-05-06 01:00:44,FALSE,NA,"1257837668546736128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PegsCooley",225,TRUE,FALSE,NA,NA
"Trump didn¡¯t wear a face mask visiting a factory and refused to wear a penis mask when visiting stormy- at least he¡¦ https://t.co/gtLJqnUWli",FALSE,0,NA,2020-05-06 01:00:43,TRUE,NA,"1257837665350610947",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","martinm34060415",0,FALSE,FALSE,NA,NA
"RT @gforce_superman: Eureka. And while people are dying of Corona, a much more lethal threat is being constructed. Pompeo is on it. As long¡¦",FALSE,0,NA,2020-05-06 01:00:42,FALSE,NA,"1257837661907308544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gestedoca",2,TRUE,FALSE,NA,NA
"If over 71 thousand Americans have lost their lives from #covid19 related deaths and the levels of shock and outrag¡¦ https://t.co/T0OZN7mL9j",FALSE,0,NA,2020-05-06 01:00:37,TRUE,NA,"1257837640281321472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeorgeUwaifo",0,FALSE,FALSE,NA,NA
"@ProjectLincoln But but he said I LOVE YOU on tv today. ... did anyone else burst out laughing? #ILoveYoo #Trump",FALSE,0,"ProjectLincoln",2020-05-06 01:00:37,FALSE,"1257348720988913666","1257837640134492160","1205226529455632385","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jonny_noki",0,FALSE,FALSE,NA,NA
"@jaketapper @ShelbyLinErdman And that's why #Trump and the Republicans don't care reopening - blacks and browns are¡¦ https://t.co/2pbZxUSzk2",FALSE,0,"jaketapper",2020-05-06 01:00:35,TRUE,"1257834595711582213","1257837632291254272","14529929","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realfacade1",0,FALSE,FALSE,NA,NA
"New Poll: Majority of Americans Call Trump¡¯s Coronavirus Response ¡®Unprepared¡¯ and ¡®Erratic¡¯.#Trump..#GOP..#Covid19",FALSE,0,NA,2020-05-06 01:00:32,FALSE,NA,"1257837618726871041",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","jetboy24",0,FALSE,FALSE,NA,NA
"RT @KayRonDeeDee: Our neighbor cut down our Trump 2020 flag in our front yard last night. It¡¯s being replaced immediately. We will win 2020¡¦",FALSE,0,NA,2020-05-06 01:00:32,FALSE,NA,"1257837618634555392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","WillBHarder",12403,TRUE,FALSE,NA,NA
"RT @MrsC_Assange: #Trump on  @Wikileaks 

(During his US Presidential Campaign) 

""I love Wikileaks!""

""This Wikileaks is like a treasure t¡¦",FALSE,0,NA,2020-05-06 01:00:29,FALSE,NA,"1257837607297462273",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OWRfreedom1776",5,TRUE,FALSE,NA,NA
